名称,产品图片链接,最低价格,最高价格
探岳,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg,"
                                18.59万","
                                31.39万"
途岳,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png,"
                                16.58万","
                                22.38万"
途观L,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png,"
                                21.18万","
                                31.18万"
途昂,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png,"
                                29.99万","
                                50.59万"
途铠,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png,"
                                11.49万","
                                15.99万"
探歌,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png,"
                                13.58万","
                                17.68万"
途观,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg,"
                                19.48万","
                                22.08万"
探影,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg,"
                                11.49万","
                                15.99万"
途锐,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png,"
                                56.98万","
                                81.98万"
探岳X,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg,"
                                23.58万","
                                29.58万"
途昂X,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg,"
                                28.99万","
                                43.99万"
途观L 插电混动,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png,"
                                26.58万","
                                32.58万"
探岳GTE 插电混动,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg,"
                                24.98万","
                                24.98万"
Tiguan,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png,"
                                23.98万","
                                35.08万"
途锐 插电混动,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg,,
